specialization,sub_specialization,years_of_experience,location,area,hourly_rate,success_rate,cases_handled,court_experience,languages_spoken,case_type,case_subtype,case_urgency,case_complexity,label_lawyer_id,match_score
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,High,Complex,122,0.89
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Low,Complex,122,0.9
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Medium,Moderate,122,0.72
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,High,Moderate,122,0.81
Property Law,Rental Issues,12,Quetta,Jinnah Town,13383,75%,167,"Special Tribunals, Session Court","English (Fluent), Urdu (Native)",Property Law,Land Disputes,Medium,Complex,122,0.89
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Deportation,Low,Complex,123,0.97
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Deportation,High,Simple,123,0.92
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Citizenship,Medium,Simple,123,0.91
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Visas,High,Moderate,123,0.75
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Visas,Low,Moderate,123,0.8
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Deportation,Medium,Complex,123,0.99
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Visas,Medium,Moderate,123,0.96
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Deportation,Medium,Moderate,123,0.86
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Citizenship,Medium,Complex,123,0.7
Immigration Law,Citizenship,18,Peshawar,Hayatabad,4830,80%,479,"High Court, Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic)",Immigration Law,Visas,Low,Moderate,123,0.74
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,High,Moderate,124,0.81
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,White Collar Crimes,Medium,Simple,124,0.97
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,Medium,Moderate,124,0.85
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Drug Offenses,High,Complex,124,0.78
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Drug Offenses,Low,Complex,124,0.72
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,White Collar Crimes,Medium,Complex,124,0.75
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,Medium,Simple,124,0.98
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,High,Moderate,124,0.88
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Drug Offenses,Low,Simple,124,0.74
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,White Collar Crimes,High,Complex,124,0.9
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,High,Simple,124,0.96
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,White Collar Crimes,High,Complex,124,0.74
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,Medium,Moderate,124,0.89
Criminal Law,Drug Offenses,15,Peshawar,University Town,8585,88%,146,"District Court, High Court","Punjabi (Conversational), English (Fluent)",Criminal Law,Violent Crimes,Low,Complex,124,0.79
Criminal Law,White Collar Crimes,21,Islamabad,F-8,2079,69%,155,"Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic), Punjabi (Conversational)",Criminal Law,Drug Offenses,Medium,Simple,125,0.84
Criminal Law,White Collar Crimes,21,Islamabad,F-8,2079,69%,155,"Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic), Punjabi (Conversational)",Criminal Law,Drug Offenses,Medium,Simple,125,0.77
Criminal Law,White Collar Crimes,21,Islamabad,F-8,2079,69%,155,"Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic), Punjabi (Conversational)",Criminal Law,Drug Offenses,Low,Complex,125,0.78
Criminal Law,White Collar Crimes,21,Islamabad,F-8,2079,69%,155,"Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic), Punjabi (Conversational)",Criminal Law,White Collar Crimes,Low,Complex,125,0.91
Criminal Law,White Collar Crimes,21,Islamabad,F-8,2079,69%,155,"Special Tribunals, District Court","Pashto (Conversational), Sindhi (Basic), Punjabi (Conversational)",Criminal Law,White Collar Crimes,High,Complex,125,0.93
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Adoption,High,Simple,126,0.76
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Divorce,Medium,Complex,126,0.71
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Divorce,Medium,Moderate,126,0.8
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Child Custody,Medium,Simple,126,0.82
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Child Custody,High,Moderate,126,0.72
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Divorce,High,Simple,126,0.95
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Divorce,High,Simple,126,0.95
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Adoption,Low,Moderate,126,0.77
Family Law,Child Custody,25,Peshawar,University Town,9595,86%,456,"District Court, Session Court","Urdu (Native), English (Fluent)",Family Law,Adoption,High,Moderate,126,0.94
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,Violent Crimes,Medium,Complex,127,0.97
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,Drug Offenses,Medium,Complex,127,0.98
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,White Collar Crimes,Medium,Simple,127,0.93
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,Drug Offenses,Medium,Complex,127,0.74
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,White Collar Crimes,Low,Moderate,127,0.86
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,Violent Crimes,High,Moderate,127,0.76
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,White Collar Crimes,Low,Moderate,127,0.82
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,Drug Offenses,High,Simple,127,0.84
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,Drug Offenses,High,Complex,127,0.86
Criminal Law,White Collar Crimes,25,Peshawar,Hayatabad,9194,75%,198,"Session Court, District Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Criminal Law,White Collar Crimes,High,Moderate,127,0.97
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,High,Moderate,129,0.83
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Visas,Medium,Moderate,129,0.77
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Visas,Medium,Simple,129,0.63
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Visas,Medium,Moderate,129,0.6
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,High,Moderate,129,0.76
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,High,Simple,129,0.61
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Deportation,High,Complex,129,0.71
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,High,Simple,129,0.73
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,Low,Simple,129,0.77
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Deportation,Medium,Simple,129,0.74
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Visas,High,Simple,129,0.64
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Deportation,Low,Moderate,129,0.61
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,Low,Simple,129,0.72
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,High,Simple,129,0.69
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,Low,Complex,129,0.69
Immigration Law,Visas,6,Peshawar,Hayatabad,5454,67%,28,Session Court,"Sindhi (Basic), Pashto (Conversational), English (Fluent)",Immigration Law,Citizenship,Low,Simple,129,0.73
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Contracts,Low,Moderate,130,0.74
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,Low,Simple,130,0.97
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Mergers,Medium,Complex,130,0.98
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,Medium,Simple,130,0.89
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,Medium,Simple,130,0.85
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Contracts,Medium,Moderate,130,0.79
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Contracts,High,Moderate,130,0.71
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Mergers,Low,Simple,130,0.76
Corporate Law,Contracts,12,Lahore,Model Town,3425,84%,442,High Court,"Punjabi (Conversational), Sindhi (Basic)",Corporate Law,Compliance,High,Simple,130,0.86
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Land Disputes,Medium,Complex,131,0.7
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Land Disputes,High,Simple,131,0.92
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Rental Issues,Low,Moderate,131,0.87
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Land Disputes,Medium,Moderate,131,0.83
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Rental Issues,Medium,Moderate,131,0.89
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Rental Issues,Medium,Moderate,131,0.73
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Rental Issues,Medium,Simple,131,0.77
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Land Disputes,Medium,Simple,131,0.9
Property Law,Land Disputes,17,Peshawar,Hayatabad,17132,67%,263,Special Tribunals,"Urdu (Native), Punjabi (Conversational), English (Fluent)",Property Law,Rental Issues,Medium,Simple,131,0.84
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,Low,Moderate,133,0.94
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,Medium,Complex,133,0.78
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,Low,Simple,133,0.85
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,High,Complex,133,0.7
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,High,Complex,133,0.98
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,High,Simple,133,0.87
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,Medium,Moderate,133,0.73
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,Medium,Simple,133,0.85
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,High,Simple,133,0.77
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,High,Complex,133,0.87
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,High,Moderate,133,0.83
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,High,Moderate,133,0.82
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Rental Issues,High,Simple,133,0.93
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,Medium,Simple,133,0.72
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,Medium,Complex,133,0.98
Property Law,Rental Issues,25,Islamabad,Blue Area,12478,84%,466,"District Court, Session Court","Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",Property Law,Land Disputes,Medium,Complex,133,0.83
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Deportation,Low,Moderate,134,0.96
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Citizenship,High,Moderate,134,0.88
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Deportation,Medium,Moderate,134,0.92
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Visas,Medium,Simple,134,0.8
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Citizenship,Medium,Complex,134,0.84
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Visas,Low,Moderate,134,0.84
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Deportation,High,Simple,134,0.89
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Citizenship,High,Simple,134,0.88
Immigration Law,Visas,23,Quetta,Samungli Road,19800,74%,219,"Session Court, Special Tribunals","Punjabi (Conversational), Pashto (Conversational)",Immigration Law,Deportation,Medium,Moderate,134,0.93
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,High,Simple,135,0.68
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,High,Complex,135,0.79
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,Low,Simple,135,0.75
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Land Disputes,High,Simple,135,0.68
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,Medium,Moderate,135,0.63
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,High,Complex,135,0.67
Property Law,Land Disputes,5,Lahore,Model Town,5101,86%,406,"District Court, Session Court, High Court","Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Property Law,Rental Issues,Low,Simple,135,0.75
